Date,Product,City,Quantity,Price
2024-01-01,Monitor,Multan,5,25000
2024-01-01,Headphones,Multan,14,8000
2024-01-01,Tablet,Karachi,10,35000
2024-01-01,Headphones,Quetta,15,8000
2024-01-01,Headphones,Peshawar,1,8000
2024-01-01,Phone,Peshawar,16,45000
2024-01-01,Tablet,Quetta,11,35000
2024-01-01,Tablet,Quetta,23,35000
2024-01-01,Tablet,Quetta,20,35000
2024-01-01,Headphones,Islamabad,6,8000
2024-01-01,Monitor,Peshawar,24,25000
2024-01-01,Tablet,Multan,22,35000
2024-01-01,Headphones,Peshawar,16,8000
2024-01-01,Phone,Islamabad,2,45000
2024-01-02,Monitor,Quetta,1,25000
2024-01-02,Phone,Karachi,24,45000
2024-01-02,Monitor,Quetta,24,25000
2024-01-02,Headphones,Quetta,9,8000
2024-01-02,Laptop,Islamabad,22,75000
2024-01-02,Monitor,Peshawar,12,25000
2024-01-02,Phone,Quetta,17,45000
2024-01-02,Headphones,Peshawar,15,8000
2024-01-02,Monitor,Lahore,19,25000
2024-01-02,Laptop,Multan,22,75000
2024-01-02,Laptop,Peshawar,10,75000
2024-01-02,Tablet,Karachi,12,35000
2024-01-02,Tablet,Multan,14,35000
2024-01-02,Phone,Karachi,9,45000
2024-01-03,Monitor,Quetta,13,25000
2024-01-03,Monitor,Multan,3,25000
2024-01-03,Tablet,Peshawar,21,35000
2024-01-03,Monitor,Multan,14,25000
2024-01-03,Monitor,Quetta,21,25000
2024-01-03,Laptop,Islamabad,10,75000
2024-01-03,Tablet,Karachi,16,35000
2024-01-03,Headphones,Quetta,7,8000
2024-01-03,Tablet,Islamabad,4,35000
2024-01-03,Headphones,Multan,20,8000
2024-01-03,Laptop,Multan,23,75000
2024-01-03,Phone,Quetta,11,45000
2024-01-03,Monitor,Peshawar,16,25000
2024-01-03,Laptop,Multan,20,75000
2024-01-04,Monitor,Peshawar,4,25000
2024-01-04,Phone,Peshawar,22,45000
2024-01-04,Phone,Peshawar,22,45000
2024-01-04,Laptop,Lahore,23,75000
2024-01-04,Phone,Islamabad,17,45000
2024-01-04,Headphones,Islamabad,13,8000
2024-01-04,Phone,Multan,11,45000
2024-01-04,Monitor,Multan,3,25000
2024-01-04,Monitor,Peshawar,9,25000
2024-01-04,Monitor,Lahore,6,25000
2024-01-04,Monitor,Peshawar,22,25000
2024-01-04,Headphones,Lahore,21,8000
2024-01-04,Tablet,Peshawar,11,35000
2024-01-05,Laptop,Karachi,16,75000
2024-01-05,Monitor,Karachi,19,25000
2024-01-05,Phone,Quetta,5,45000
2024-01-05,Monitor,Peshawar,14,25000
2024-01-05,Phone,Multan,17,45000
2024-01-05,Phone,Islamabad,3,45000
2024-01-05,Monitor,Quetta,4,25000
2024-01-05,Headphones,Multan,16,8000
2024-01-05,Phone,Karachi,16,45000
2024-01-05,Phone,Peshawar,21,45000
2024-01-05,Monitor,Quetta,4,25000
2024-01-05,Phone,Peshawar,19,45000
2024-01-05,Phone,Karachi,17,45000
2024-01-05,Monitor,Quetta,13,25000
2024-01-06,Monitor,Karachi,22,25000
2024-01-06,Laptop,Lahore,23,75000
2024-01-06,Headphones,Karachi,24,8000
2024-01-06,Headphones,Peshawar,1,8000
2024-01-06,Phone,Islamabad,12,45000
2024-01-06,Headphones,Karachi,4,8000
2024-01-06,Phone,Multan,11,45000
2024-01-06,Laptop,Islamabad,5,75000
2024-01-06,Monitor,Lahore,2,25000
2024-01-06,Monitor,Quetta,17,25000
